		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111001010  243  233  233  248  241  231  219  247  4.598376 0.799512 SUCCESS 123
111001100  233  248  264  265  237  249  276  223 10.618686 0.224255 SUCCESS 124
111010000  241  246  239  258  212  237  239  239  5.793118 0.670393 SUCCESS 125
111010010  253  257  251  261  244  242  246  265  4.322993 0.826870 SUCCESS 126
111010100  247  243  251  255  251  260  264  270  6.519707 0.589223 SUCCESS 127
111010110  270  240  235  270  260  226  241  245  8.602030 0.376971 SUCCESS 128
111011000  228  249  232  223  272  255  269  253 10.464047 0.233954 SUCCESS 129
111011010  248  237  266  273  230  270  236  256 10.397319 0.238239 SUCCESS 130
111011100  223  244  223  219  240  245  219  283 15.608424 0.048340 SUCCESS 131
111100000  224  238  230  253  253  234  257  214  8.369013 0.398279 SUCCESS 132
111100010  269  277  257  243  266  251  239  229 11.216056 0.189755 SUCCESS 133
111100100  239  244  251  233  257  241  270  231  5.145966 0.741867 SUCCESS 134
111100110  232  241  266  248  246  223  269  238  7.441183 0.489864 SUCCESS 135
111101000  232  247  238  259  223  256  213  237  8.561782 0.380600 SUCCESS 136
111101010  256  233  245  245  263  263  285  244 11.225589 0.189242 SUCCESS 137
111101100  235  232  227  237  235  252  223  262  6.293045 0.614443 SUCCESS 138
111101110  215  250  247  233  241  266  254  268  9.196223 0.326014 SUCCESS 139
111110000  255  245  228  239  235  229  272  231  7.060941 0.530072 SUCCESS 140
111110010  233  252  230  255  249  247  252  234  2.966199 0.936461 SUCCESS 141
111110100  249  247  255  268  241  262  235  240  4.871642 0.771203 SUCCESS 142
111110110  267  208  269  246  237  253  217  270 16.884722 0.031332 SUCCESS 143
111111000  277  257  234  224  253  255  238  253  8.758787 0.363051 SUCCESS 144
111111010  242  246  262  270  247  257  240  230  5.878910 0.660794 SUCCESS 145
111111100  240  239  244  276  234  249  244  238  5.181978 0.737961 SUCCESS 146
111111110  240  233  260  265  265  262  230  248  7.619123 0.471531 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  278  241  246  267  261  243  253  224 10.396260 0.238307 SUCCESS   0
000000011  256  245  254  257  235  245  250  243  2.223723 0.973373 SUCCESS   1
000000101  262  236  259  251  247  212  239  254  7.702797 0.463027 SUCCESS   2
000000111  251  260  227  260  256  259  258  250  6.074856 0.638847 SUCCESS   3
000001001  208  256  239  243  219  252  258  257 10.698123 0.219398 SUCCESS   4
000001011  233  220  261  246  265  241  236  239  6.490050 0.592512 SUCCESS   5
000001101  261  226  254  277  232  262  251  254 10.180190 0.252606 SUCCESS   6
000001111  234  254  219  247  239  231  230  251  5.443592 0.709281 SUCCESS   7
000010001  242  229  240  238  247  277  240  221  8.170949 0.416952 SUCCESS   8
000010011  216  251  238  244  233  223  255  253  6.960320 0.540920 SUCCESS   9
000010101  261  236  264  223  256  239  250  262  7.259006 0.508963 SUCCESS  10
000010111  227  236  240  237  252  236  235  250  2.850750 0.943372 SUCCESS  11
000011001  238  261  240  260  247  276  243  239  6.961380 0.540805 SUCCESS  12
000011011  240  217  227  257  237  235  215  246  9.310613 0.316774 SUCCESS  13
000011101  247  243  250  267  268  254  242  252  5.513497 0.701544 SUCCESS  14
000011111  226  260  210  248  224  238  271  235 12.744435 0.120951 SUCCESS  15
000100011  242  233  236  235  238  242  228  232  3.078471 0.929337 SUCCESS  16
000100101  229  240  259  229  231  254  258  264  6.580079 0.582540 SUCCESS  17
000100111  214  245  235  248  242  235  250  249  4.883293 0.769974 SUCCESS  18
000101001  274  253  249  237  248  237  255  228  6.312110 0.612315 SUCCESS  19
000101011  264  258  229  236  270  229  242  264  9.236472 0.322742 SUCCESS  20
000101101  246  245  245  240  263  238  262  215  6.709298 0.568297 SUCCESS  21
000101111  241  247  223  240  251  250  245  269  5.010393 0.756465 SUCCESS  22
000110011  249  264  260  251  238  273  236  249  7.113900 0.524395 SUCCESS  23
000110101  260  227  257  256  232  246  262  257  6.303636 0.613261 SUCCESS  24
000110111  243  264  220  252  247  220  248  266  8.999218 0.342362 SUCCESS  25
000111001  249  253  254  216  262  263  234  257  8.198487 0.414326 SUCCESS  26
000111011  253  265  254  255  225  260  249  232  6.434973 0.598629 SUCCESS  27
000111101  269  233  251  251  261  232  199  251 14.202909 0.076628 SUCCESS  28
000111111  226  247  225  225  243  240  252  226  6.258092 0.618346 SUCCESS  29
001000011  266  246  229  253  256  240  259  227  6.194542 0.625450 SUCCESS  30
001000101  255  224  239  261  253  268  253  251  6.817333 0.556463 SUCCESS  31
001000111  237  258  240  215  240  220  207  228 14.175371 0.077307 SUCCESS  32
001001011  240  248  267  255  220  246  257  255  6.537712 0.587228 SUCCESS  33
001001101  230  262  214  246  222  247  259  245  9.108312 0.333241 SUCCESS  34
001001111  242  241  227  242  243  240  233  234  2.358237 0.968014 SUCCESS  35
001010011  249  233  235  259  236  223  252  243  4.353709 0.823884 SUCCESS  36
001010101  231  222  264  229  270  252  249  251  8.846698 0.355393 SUCCESS  37
001010111  260  249  238  248  236  255  242  253  2.524526 0.960577 SUCCESS  38
001011011  282  245  226  220  265  247  252  224 13.798307 0.087176 SUCCESS  39
001011101  247  248  234  247  239  227  227  249  3.264884 0.916652 SUCCESS  40
001011111  261  218  251  225  262  231  245  241  7.976062 0.435812 SUCCESS  41
001100101  262  229  247  256  220  259  251  260  7.626537 0.470774 SUCCESS  42
001100111  272  253  249  236  234  250  221  262  8.205902 0.413620 SUCCESS  43
001101011  263  246  246  255  225  229  267  244  6.776025 0.560980 SUCCESS  44
001101101  249  242  256  260  237  246  249  228  3.217222 0.919995 SUCCESS  45
001101111  247  252  242  251  230  255  230  269  5.330261 0.721764 SUCCESS  46
001110101  231  228  227  233  254  242  229  252  5.262475 0.729189 SUCCESS  47
001110111  224  267  264  256  230  235  255  252  8.165653 0.417458 SUCCESS  48
001111011  248  246  238  266  253  261  235  252  4.420436 0.817339 SUCCESS  49
001111101  258  232  216  259  232  242  261  240  7.647720 0.468616 SUCCESS  50
001111111  218  250  239  247  250  249  247  238  3.625001 0.889275 SUCCESS  51
010000011  261  255  225  254  261  261  246  219  8.772556 0.361845 SUCCESS  52
010000111  241  240  234  251  258  216  252  236  5.457361 0.707759 SUCCESS  53
010001011  265  221  248  254  242  267  253  245  7.161562 0.519306 SUCCESS  54
010001111  247  255  228  230  231  228  202  236 12.112112 0.146271 SUCCESS  55
010010011  263  264  240  242  234  248  258  228  5.689319 0.681987 SUCCESS  56
010010111  229  240  256  243  249  219  261  255  6.126755 0.633036 SUCCESS  57
010011011  233  252  253  258  229  263  229  246  5.399107 0.714191 SUCCESS  58
010011111  262  234  228  272  252  238  252  256  7.463425 0.487554 SUCCESS  59
010100011  241  250  243  240  245  244  225  232  2.440852 0.964432 SUCCESS  60
010100111  242  247  236  256  252  248  272  216  7.900861 0.443214 SUCCESS  61
010101011  229  249  267  229  269  255  253  239  7.823542 0.450894 SUCCESS  62
010101111  270  270  243  269  244  273  250  250 12.124822 0.145721 SUCCESS  63
010110011  232  242  266  256  252  223  255  242  5.940342 0.653915 SUCCESS  64
010110111  261  240  254  223  263  257  230  236  6.919013 0.545395 SUCCESS  65
010111011  256  266  236  207  239  224  242  250 10.736253 0.217096 SUCCESS  66
010111111  246  241  250  241  265  246  242  230  2.969377 0.936265 SUCCESS  67
011000111  249  230  246  245  245  242  214  222  6.905244 0.546890 SUCCESS  68
011001111  263  258  245  229  255  234  245  247  4.271094 0.831874 SUCCESS  69
011010111  221  251  258  244  209  205  236  222 17.347578 0.026687 SUCCESS  70
011011111  260  236  261  254  243  283  243  225 10.930081 0.205692 SUCCESS  71
011101111  217  254  249  231  217  229  262  235 10.153711 0.254403 SUCCESS  72
011111111  235  280  245  229  262  256  249  263 10.339065 0.242030 SUCCESS  73
100000000  278  241  246  267  261  243  253  224 10.396260 0.238307 SUCCESS  74
100010000  227  232  257  238  239  227  256  240  4.749837 0.783949 SUCCESS  75
100100000  256  253  233  262  256  226  253  223  7.022811 0.534174 SUCCESS  76
100101000  240  260  254  222  252  256  241  230  5.373687 0.716991 SUCCESS  77
100110000  232  236  254  238  241  265  234  245  3.799764 0.874722 SUCCESS  78
100111000  214  237  241  218  235  228  230  266 11.319855 0.184226 SUCCESS  79
101000000  235  246  244  256  233  248  276  272  9.149620 0.329832 SUCCESS  80
101000100  232  235  240  248  225  253  246  239  3.120838 0.926547 SUCCESS  81
101001000  243  241  256  236  249  246  244  219  3.713971 0.881964 SUCCESS  82
101001100  260  235  268  236  236  233  253  268  7.667844 0.466570 SUCCESS  83
101010000  247  233  228  260  242  223  261  251  6.045200 0.642169 SUCCESS  84
101010100  235  210  251  262  255  239  263  241  9.003455 0.342005 SUCCESS  85
101011000  260  221  236  252  258  227  237  232  6.771789 0.561443 SUCCESS  86
101011100  211  244  222  249  228  245  241  223  9.860321 0.274967 SUCCESS  87
101100000  246  231  237  263  266  257  265  233  7.569342 0.476626 SUCCESS  88
101100100  281  269  274  223  218  215  249  258 21.456089 0.006030 FAILURE  89
101101000  251  232  253  247  240  256  262  244  3.215103 0.920142 SUCCESS  90
101101100  273  255  224  207  237  221  251  222 16.343487 0.037719 SUCCESS  91
